sr_no,date,startup_name,industry_vertical,subvertical,city_location,investors_name,investment_type,amount_in_usd,remarks,city_clean,industry_clean,amount_clean,date_clean
510,21/11/2017,Epiq Capital,Finance,Tech based investor firm,Mumbai,Global Institutional Investors,Private Equity,"20,00,00,000",,Mumbai,Finance,200000000,11/21/2017
511,22/11/2017,MiStay,Technology,Online Hotel Reservation Platform,Bengaluru,Axilor Ventures,Seed/Angel Funding,,,Bengaluru,Technology,,11/22/2017
512,23/11/2017,WittyFeed,Storytelling,Viral Content and storytelling platform,Indore,Sandeep Aggarwal,Seed/Angel Funding,,,Indore,Storytelling,,11/23/2017
513,24/11/2017,IDG Ventures,Finance,Venture Capitalist,Bengaluru,Uniliver Ventures,Private Equity,"1,00,00,000",,Bengaluru,Finance,10000000,11/24/2017
514,24/11/2017,TempGo,Technology,IoT and SaaS based transportation platform,Goa,Javelin StartupO Victory Fund,Seed/Angel Funding,"2,50,000",,Goa,Technology,250000,11/24/2017
515,27/11/2017,Edelweiss,Finance,Diversified Financial,Mumbai,Undisclosed investors,Private Equity,"27,00,00,000",,Mumbai,Finance,270000000,11/27/2017
516,27/11/2017,ERA,Technology,Identity management platform,Mumbai,Amit Patni,Seed/Angel Funding,"39,000",,Mumbai,Technology,39000,11/27/2017
517,27/11/2017,Smaaash,Technology,Virtual Reality based gaming platform,Mumbai,Sixth Sense Ventures,Private Equity,"38,00,000",,Mumbai,Technology,3800000,11/27/2017
518,28/11/2017,Chumbak,Lifestyle,Designer-led consumer products,Bengaluru,Gaja Capital,Private Equity,"1,30,00,000",,Bengaluru,Lifestyle,13000000,11/28/2017
519,28/11/2017,FR8,Technology,Online Truck aggregator platform,Chennai,IFMR Capital,Debt Funding,"15,00,000",,Chennai,Technology,1500000,11/28/2017
520,28/11/2017,MobieFit,Healthcare,Health and fitness based mobile App,Goa,"NB Ventures, MediAssist",Seed/Angel Funding,"13,50,000",,Goa,Healthcare,1350000,11/28/2017
521,28/11/2017,Stanza Living,Technology,Student accommodation platform,New Delhi,"Matrix PArtners, Accel",Private Equity,"20,00,000",,New Delhi,Technology,2000000,11/28/2017
522,3/10/2017,ChqBook,Consumer Internet,Home Loans Aggregation platform,Gurugram,"Startup Buddy, Apurva Chamaria,Sachin Arora, Bharat Gupta, Amit Manocha",Seed Funding,,,Gurugram,Consumer Internet,,10/3/2017
523,3/10/2017,HomeCapital,Consumer Internet,Home Loan Down payment assistance program,Mumbai,Venture Catalysts,Seed Funding,,,Mumbai,Consumer Internet,,10/3/2017
524,3/10/2017,Ola Cabs,Consumer Internet,App based cab hailing services,Bengaluru,"Tencent, Softbank Group",Private Equity,"11,00,00,000",,Bengaluru,Consumer Internet,110000000,10/3/2017
525,4/10/2017,Elanic,Consumer Internet,P2P platform for Fashion sales,Bengaluru,Digital Garage,Seed Funding,,,Bengaluru,Consumer Internet,,10/4/2017
526,4/10/2017,CollPoll,Consumer Internet,Education collaboration platform,Bengaluru,Sprout Angels,Seed Funding,"3,06,000",,Bengaluru,Consumer Internet,306000,10/4/2017
527,4/10/2017,PhonePe,Consumer Internet,Digital Wallet,Bengaluru,Flipkart,Private Equity,"3,87,00,000",,Bengaluru,Consumer Internet,38700000,10/4/2017
528,5/10/2017,Little Black Book,Consumer Internet,Local Recommendations and Discoveries Platform,New Delhi,"Blume Ventures, IDG Ventures & Indian Angel Network",Private Equity,"10,00,000",,New Delhi,Consumer Internet,1000000,10/5/2017
529,5/10/2017,Oorjan,Technology,rooftop solar platform,Mumbai,Globevestor,Seed Funding,"4,50,000",,Mumbai,Technology,450000,10/5/2017
530,5/10/2017,Zefo,ECommerce,Ecommerce Portal for Used Goods,Bengaluru,"Sequoia India, Helion Venture Partners, Beenext",Private Equity,"92,00,000",,Bengaluru,E-Commerce,9200000,10/5/2017
531,6/10/2017,Yaantra,ECommerce,Mobile repair and Refurbishment platform,New Delhi,Carpediem Capital,Private Equity,"31,00,000",,New Delhi,E-Commerce,3100000,10/6/2017
532,6/10/2017,Farm Taaza,Technology,Fresh Produce SCM company,Bengaluru,"Epsilon Venture Partners, Tara India Fund IV and others",Private Equity,"80,00,000",,Bengaluru,Technology,8000000,10/6/2017
533,6/10/2017,Drivezy,Consumer Internet,Self Drive car and bike rental platform,Bengaluru,"Das Capital, Axan Partners, Das Capital and IT Farm",Private Equity,"1,00,00,000",,Bengaluru,Consumer Internet,10000000,10/6/2017
534,6/10/2017,Slice Pay,Consumer Internet,Student Micro-financing platform,Bengaluru,"Das Capital, Simile Ventures",Private Equity,"20,00,000",,Bengaluru,Consumer Internet,2000000,10/6/2017
535,9/10/2017,Agrowave,Technology,Agriculture Supply Chain management solutions,Gurugram,Daffodil Software,Seed Funding,,,Gurugram,Technology,,10/9/2017
536,9/10/2017,MyGubbi,eCommerce,Home Interior Designing Seller,Bengaluru,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",Private Equity,"27,00,000",,Bengaluru,E-Commerce,2700000,10/9/2017
537,9/10/2017,IBSFintech,Technology,Treasury Risk Management Solution,Bengaluru,Shailesh Haribhakti,Seed Funding,,,Bengaluru,Technology,,10/9/2017
538,9/10/2017,Letsservice,Consumer Internet,Auto Service Logistics & SAAS platform,Bengaluru,Aequs Group,Private Equity,,,Bengaluru,Consumer Internet,,10/9/2017
539,9/10/2017,OneStepUp,Technology,Education Technology platform,New Delhi,Orient BlackSwan,Seed Funding,"3,36,000",,New Delhi,Technology,336000,10/9/2017
540,9/10/2017,ThirdWatch,Technology,AI-powered anti-fraud solutions,Gurugram,"Rahul Agarwalla, Keshav Sanghi, Batlivala & Karani Securities",Seed Funding,,,Gurugram,Technology,,10/9/2017
541,10/10/2017,Parallel Dots,Technology,AI-powered deep learning solutions,Gurugram,"Multipoint Capital,",Private Equity,"14,00,000",,Gurugram,Technology,1400000,10/10/2017
542,10/10/2017,Easy Diner,Consumer Internet,online restaurant reservation platform,Gurugram,Saama Capital and DSG Consumer Partners,Private Equity,"45,00,000",,Gurugram,Consumer Internet,4500000,10/10/2017
543,11/10/2017,Meesho,ECommerce,Online Reseller Network,Bengaluru,"SAIF Partners, YCombinator, Venture Highway",Private Equity,"31,00,000",,Bengaluru,E-Commerce,3100000,10/11/2017
544,11/10/2017,StanPlus,Logistics,Medical Transportation Services,Hyderabad,KStart Capital,Private Equity,"11,00,000",,Hyderabad,Logistics,1100000,10/11/2017
545,12/10/2017,UCLID,Technology,"Education Network for Institutions, teachers & Students",Hyderabad,Undisclosed investors,Seed Funding,"2,35,000",,Hyderabad,Technology,235000,10/12/2017
546,13/10/2017,Policy Bazaar,Consumer Internet,Online insurance policy aggregator,Gurugram,"Wellington Management, DG Ventures India, True North",Private Equity,"7,70,00,000",,Gurugram,Consumer Internet,77000000,10/13/2017
547,13/10/2017,Gapoon,Consumer Internet,home maintenance services platform,Bengaluru,"Vida Ventures, Snehal Mantri, Anshu Bahadur",Seed Funding,"2,50,000",,Bengaluru,Consumer Internet,250000,10/13/2017
548,13/10/2017,Chaayos,eCommerce,Online Chai ordering platform,Gurugram,Tiger Global Management,Private Equity,"20,00,000",,Gurugram,E-Commerce,2000000,10/13/2017
549,16/10/2017,KrazyBee,Consumer Internet,Micro-lending platform,Bengaluru,"Xiaomi Technologies, Shunwei Capital",Private Equity,"80,00,000",,Bengaluru,Consumer Internet,8000000,10/16/2017
550,16/10/2017,Renew Buy,Consumer Internet,Online Insurance Aggregator,New Delhi,Amicus Capital,Private Equity,"92,00,000",,New Delhi,Consumer Internet,9200000,10/16/2017
551,17/10/2017,Fingerlix,Consumer Internet,Food Ordering Portal,Bengaluru,"Accel Partners, Zephyr Peacock",Private Equity,"70,00,000",,Bengaluru,Consumer Internet,7000000,10/17/2017
552,18/10/2017,Bank Bazaar,Consumer Internet,Online Financial Marketplace,Chennai,Experian,Private Equity,"70,00,000",,Chennai,Consumer Internet,7000000,10/18/2017
553,18/10/2017,Hasura,Technology,App building platform,Chennai,"Nexus, GREE Ventures",Private Equity,,,Chennai,Technology,,10/18/2017
554,18/10/2017,BlackBuck,Logistics,B2B Logistics provider,Bengaluru,Innoven Capital,Private Equity,"77,00,000",,Bengaluru,Logistics,7700000,10/18/2017
555,18/10/2017,LenDen Club,Consumer Internet,Online peer-to-peer lending platform,Mumbai,Undisclosed Investor,Seed Funding,"5,00,000",,Mumbai,Consumer Internet,500000,10/18/2017
556,23/10/2017,Toppr,Consumer Internet,Mobile based learning app,Mumbai,"SAIF Partners, Helion Ventures, FIL Capital Management",Private Equity,"70,00,000",,Mumbai,Consumer Internet,7000000,10/23/2017
557,23/10/2017,RAW Pressery,Food & Beverage,Cold pressed Juice maker,Mumbai,"DSG Consumer Partners, Sequoia Capital, Saama Capital",Private Equity,"60,00,000",,Mumbai,Food & Beverage,6000000,10/23/2017
558,23/10/2017,Cashe,Consumer Internet,app-only lending platform,Mumbai,IFMR Capital,Debt Funding,"31,00,000",,Mumbai,Consumer Internet,3100000,10/23/2017
559,23/10/2017,Park Easy,Consumer Internet,Machine learning based parking discovery,Kolkata,Rockstart Accelerator,Seed Funding,"1,18,000",,Kolkata,Consumer Internet,118000,10/23/2017
560,24/10/2017,TagBox,Technology,Cold Chain monitoring solution,Bengaluru,"Indian Angel network, IAN Fund",Seed Funding,,,Bengaluru,Technology,,10/24/2017
561,24/10/2017,FYRE,Food & Beverage,Herbal energy shot maker,Mumbai,Venture Catalysts,Seed Funding,"5,00,000",,Mumbai,Food & Beverage,500000,10/24/2017
562,24/10/2017,ZipLoan,Consumer Internet,SME lending platform,New Delhi,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh",Private Equity,"30,00,000",,New Delhi,Consumer Internet,3000000,10/24/2017
563,24/10/2017,Skillenza,Consumer Internet,Online Learning Platform,Bengaluru,"Blume Ventures, Indian Angel Network",Seed Funding,"7,22,000",,Bengaluru,Consumer Internet,722000,10/24/2017
564,24/10/2017,Chevon,Food & Beverage,Frozen Meat provider,Mumbai,Greenfield Advisory,Private Equity,,,Mumbai,Food & Beverage,,10/24/2017
565,25/10/2017,PropStory,Consumer Internet,Real Estate content portal,Gurugram,"Abhishek Bhatewara, Vivek Shah, Haitong Securities, Suraj Saharan, Paras Arora",Seed Funding,,,Gurugram,Consumer Internet,,10/25/2017
566,25/10/2017,SpotDraft,Consumer Internet,Contract Automation,Gurugram,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Seed Funding,"5,50,000",,Gurugram,Consumer Internet,550000,10/25/2017
567,26/10/2017,Big Basket,eCommerce,Online Grocery portal,Bengaluru,Helion Ventures Partners,Private Equity,"50,00,000",,Bengaluru,E-Commerce,5000000,10/26/2017
568,27/10/2017,OfBusiness,Technology,B2B Finance & Fulfilment Network,Gurugram,Kotak Mahindra Bank,Debt Funding,"38,00,000",,Gurugram,Technology,3800000,10/27/2017
569,27/10/2017,Olly Credit,Technology,Credit + payment mobile app,New Delhi,"Incubate Fund, Sandesh Kirkire, Anand Kumar, Yogesh Chaudhary",Seed Funding,,,New Delhi,Technology,,10/27/2017
570,28/10/2017,CashFree,Technology,Payments Platform for Marketplaces and Fintechs,New Delhi,Y Combinator,Seed Funding,"1,20,000",,New Delhi,Technology,120000,10/28/2017
571,28/10/2017,Ola Cabs,Consumer Internet,App based cab hailing services,Bengaluru,ANI Technologies Pvt. Ltd,Private Equity,"77,00,000",,Bengaluru,Consumer Internet,7700000,10/28/2017
572,30/10/2017,GoldFarm,Food & Beverage,Agriculture Technology,Coimbatore,Mahindra & Mahindra and Infuse Ventures,Private Equity,"20,00,000",,Coimbatore,Food & Beverage,2000000,10/30/2017
573,31/10/2017,NetMeds,ECommerce,Online Pharmacy,Chennai,TannCam Investment & Sistema Asia Fund,Private Equity,"1,40,00,000",,Chennai,E-Commerce,14000000,10/31/2017
574,31/10/2017,MSE,Finance,Equity Stock Exchange,Mumbai,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala",Private Equity,"3,20,00,000",,Mumbai,Finance,32000000,10/31/2017
575,1/9/2017,Aahaa Stores,eCommece,Online B2B store for office supplies,Chennai,YourNest Angel Fund,Private Equity,"10,00,000",,Chennai,E-Commerce,1000000,9/1/2017
576,1/9/2017,MFine,Consumer Internet,Online Doctor Discovery platform,Bengaluru,"Stellaris Venture Partners, Mayur Abhaya, Rohit MA",Private Equity,"15,00,000",,Bengaluru,Consumer Internet,1500000,9/1/2017
577,1/9/2017,Canvera,Consumer Internet,Online Photography platform,Mumbai,InfoEdge,Private Equity,"13,00,000",,Mumbai,Consumer Internet,1300000,9/1/2017
578,4/9/2017,PrimaryIO,Technology,Application Performance Acceleration,Pune,"Accel Partners, Exfinity Ventures, Partech Ventures",Private Equity,"56,00,000",,Pune,Technology,5600000,9/4/2017
579,5/9/2017,Shubh Loans,Consumer Internet,online lending platform,Bengaluru,"SRI Capital, BeeNext, Pravega Ventures",Private Equity,"15,00,000",,Bengaluru,Consumer Internet,1500000,9/5/2017
580,5/9/2017,Nest Education,Technology,EduTech Platform,Gurugram,"Michael and Susan Dell Foundation, Anand Mahindra",Seed Funding,"6,00,000",,Gurugram,Technology,600000,9/5/2017
581,6/9/2017,Lending Kart,Consumer Internet,Online Lending Platform,Ahmedabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",Private Equity,"1,07,50,000",,Ahmedabad,Consumer Internet,10750000,9/6/2017
582,6/9/2017,GoFro,Consumer Internet,Online travel booking platform,New Delhi,"HIS Co. Ltd, MakeMyTrip",Private Equity,"1,00,00,000",,New Delhi,Consumer Internet,10000000,9/6/2017
583,6/9/2017,OncoStem,Healthcare,Medical Diagnostic Solutions,Bengaluru,"Sequoia Capital India, Artiman Ventures",Private Equity,"60,00,000",,Bengaluru,Healthcare,6000000,9/6/2017
584,6/9/2017,Power2SME,eCommerce,Buying Club for Small Businesses,Gurugram,"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani,",Private Equity,"2,60,00,000",,Gurugram,E-Commerce,26000000,9/6/2017
585,7/9/2017,Credit Vidya,Consumer Internet,Online Credit scoring platform,Mumbai,Matrix Partners,Private Equity,"50,00,000",,Mumbai,Consumer Internet,5000000,9/7/2017
586,7/9/2017,Tails Life,Consumer Internet,Pet care portal & mobile app,Bengaluru,V Balakrishnan.,Private Equity,,,Bengaluru,Consumer Internet,,9/7/2017
587,7/9/2017,OYO Rooms,Consumer Internet,Branded budget hotels marketplace,Gurugram,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",Private Equity,"25,00,00,000",,Gurugram,Consumer Internet,250000000,9/7/2017
588,7/9/2017,Early Salary,Consumer Internet,Online Unsecured Lending platform,Pune,IFMR Capital,Debt Funding,"7,80,000",,Pune,Consumer Internet,780000,9/7/2017
589,7/9/2017,MamaEarth,eCommerce,online babycare products marketplace,Gurugram,Fireside Ventures,Seed Funding,,,Gurugram,E-Commerce,,9/7/2017
590,7/9/2017,Seniority,eCommerce,Ecommerce portal for senior citizens,Pune,RPG Enterprises,Private Equity,"10,00,000",,Pune,E-Commerce,1000000,9/7/2017
591,8/9/2017,AYE Finance,Consumer Internet,Micro Lending Platform,New Delhi,"Triodos Investment Management,",Debt Funding,"69,00,000",,New Delhi,Consumer Internet,6900000,9/8/2017
592,8/9/2017,Farmizen,Technology,Agre-Tech Mobile app,Bengaluru,"Venture Highway, Alok Mittal, Mohit Agarwal, Anuj Gupta,",Seed Funding,,,Bengaluru,Technology,,9/8/2017
593,11/9/2017,Ecom Express,Logistics,Logistics Solutions provider,New Delhi,Warburg Pincus,Private Equity,"3,00,00,000",,New Delhi,Logistics,30000000,9/11/2017
594,11/9/2017,Call Health,Consumer Internet,Healthcare Services Aggregator,Hyderabad,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand",Private Equity,"62,00,000",,Hyderabad,Consumer Internet,6200000,9/11/2017
595,12/9/2017,Sattviko,eCommerce,Health Food etailer,New Delhi,"Raman Roy, Arvind Uppal, Sonu Bhasin, G Ravishankar",Seed Funding,,,New Delhi,E-Commerce,,9/12/2017
596,12/9/2017,3HCare,Consumer Internet,Healthcare services portal,New Delhi,Undisclosed Investor,Seed Funding,"1,00,000",,New Delhi,Consumer Internet,100000,9/12/2017
597,12/9/2017,Tonbo Imaging,Technology,Imaging Technology for Armed Forces,Bengaluru,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",Private Equity,"1,70,00,000",,Bengaluru,Technology,17000000,9/12/2017
598,12/9/2017,Get My Parking,Consumer Internet,Smart Parking Enabler,New Delhi,"IAN Fund, Beenext, Indian Angel Network",Private Equity,"30,00,000",,New Delhi,Consumer Internet,3000000,9/12/2017
599,13/09/2017,WittyFeed,Technology,Content marketing platform,Indore,"Anand Chandrasekaran, Apurva Chamaria, Ritesh Malik, Ashish Toshniwal, Ajeet Khurana",Seed Funding,,,Indore,Technology,,9/13/2017
600,13/09/2017,Glowroad,Consumer Internet,women focussed customer-to-customer reseller network,Bengaluru,"Accel Partners,",Private Equity,"20,00,000",,Bengaluru,Consumer Internet,2000000,9/13/2017
601,13/09/2017,OYO Rooms,Consumer Internet,udget hotel marketplace,Gurugram,China Lodging Group,Private Equity,"1,00,00,000",,Gurugram,Consumer Internet,10000000,9/13/2017
602,13/09/2017,Unacademy,Consumer Internet,Online learning platform,Mumbai,"Sequoia Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,",Private Equity,"1,15,00,000",,Mumbai,Consumer Internet,11500000,9/13/2017
603,13/09/2017,Heterogenous,Technology,Telecom & IoT platform,Chennai,"Chennai Angels, Keiretsu Forum & Others",Seed Funding,"7,80,000",,Chennai,Technology,780000,9/13/2017
604,14/09/2017,Gurukul,Consumer Internet,co-working space provider,New Delhi,"Rohit Nanda, Rajit Nanda, Smarak Bhuyan, Sashwat Brahma,",Seed Funding,,,New Delhi,Consumer Internet,,9/14/2017
605,14/09/2017,Smaaash,Technology,Virtual Reality gaming and entertainment platform,Mumbai,ECL Finance,Private Equity,"4,40,00,000",,Mumbai,Technology,44000000,9/14/2017
606,14/09/2017,WheelStreet,Consumer Portal,Bike Rental Platform,Bengaluru,Y Combinator,Seed Funding,"1,20,000",,Bengaluru,Consumer Portal,120000,9/14/2017
607,14/09/2017,Xprep,Consumer Internet,Online Tutoring Platform,New Delhi,"Rising Stars, Manish Amin, Pallav Pandey, Chavi Jafa",Private Equity,,,New Delhi,Consumer Internet,,9/14/2017
608,18/09/2017,The Moms Co,eCommerce,Pregnancy & Baby Care product etailer,Gurugram,"DSG Consumer Partners, Saama Capital",Private Equity,"10,00,000",,Gurugram,E-Commerce,1000000,9/18/2017
609,19/09/2017,Noticeboard,Technology,"mobile-first communication platform for on-field staff,",Bengaluru,"Shamik Sharma, Aprameya Radhakrishna",Seed Funding,,,Bengaluru,Technology,,9/19/2017
610,19/09/2017,High Radius,Technology,Integrated receivables software solutions,Hyderabad,Susquehanna Growth Equity LLC,Private Equity,"5,00,00,000",,Hyderabad,Technology,50000000,9/19/2017
611,20/09/2017,HWell24 Plus,Healthcare,Technology-Empowered Healthcare Solutions,Mumbai,Undisclosed Investors,Seed Funding,,,Mumbai,Healthcare,,9/20/2017
612,21/09/2017,SaveBC,Finance,financial services firm,Gaya,Incofin Investment Management.,Private Equity,"60,00,000",,Gaya,Finance,6000000,9/21/2017
613,21/09/2017,Gaming Monk,Consumer Internet,E-sports platform,New Delhi,AdvantEdge,Private Equity,,,New Delhi,Consumer Internet,,9/21/2017
614,21/09/2017,91SpringBoard,Consumer Internet,Co-working spaces,New Delhi,"Sandway Investment Ltd, Pearl Brook Holdings, Silo Holdings and Al Nour",Private Equity,,,New Delhi,Consumer Internet,,9/21/2017
615,21/09/2017,Homergize,eCommerce,Home Furnishing & Building material marketplace,Bengaluru,LG Chandrasekhar,Private Equity,"10,00,000",,Bengaluru,E-Commerce,1000000,9/21/2017
616,22/09/2017,Yatra.com,eCommerce,Online Travel Agency,Gurugram,InnoVen Capital India,Debt Funding,"1,54,00,000",,Gurugram,E-Commerce,15400000,9/22/2017
617,22/09/2017,Ace Turtle,Technology,Omni-channel web commerce solutions provider,Bengaluru,InnoVen Capital,Private Equity,,,Bengaluru,Technology,,9/22/2017
618,25/09/2017,Vogo,Consumer Internet,Scooter Rental Platform,Bengaluru,AV Thomas Group,Seed Funding,,,Bengaluru,Consumer Internet,,9/25/2017
619,25/09/2017,Synup,Technology,SME Marketing Management Solution,Bengaluru,"Vertex Ventures, Prime Venture Partners.",Private Equity,"60,00,000",,Bengaluru,Technology,6000000,9/25/2017
620,25/09/2017,Tinmen,Consumer Internet,Food Delivery platform,Hyderabad,Zomato Media Pvt. Ltd,Private Equity,,,Hyderabad,Consumer Internet,,9/25/2017
621,25/09/2017,Cropin,Technology,Crop Technology Solutions,Bengaluru,Beenext,Private Equity,,,Bengaluru,Technology,,9/25/2017
622,25/09/2017,Rapido,Consumer Internet,Bike Aggregator Mobile App,Bengaluru,Battery Road Digital Holdings LLC,Seed Funding,"4,22,000",,Bengaluru,Consumer Internet,422000,9/25/2017
623,25/09/2017,Sportobuddy,Consumer Internet,Sports & Sport related equipment portal,Mumbai,Mehul Shah,Seed Funding,"1,50,000",,Mumbai,Consumer Internet,150000,9/25/2017
624,26/09/2017,Credifiable,Consumer Internet,Online consumer lending platform,Bengaluru,Kae Capital,Private Equity,,,Bengaluru,Consumer Internet,,9/26/2017
625,26/09/2017,Inclov,Consumer Internet,Matchmaking app for the differently abled,Gurugram,"Rajan Anandan, Jamil Khatri, Ravi Iyer, Raghav Bahl",Seed Funding,,,Gurugram,Consumer Internet,,9/26/2017
626,26/09/2017,Multibhashi,Consumer Internet,Language learning Mobile App,Bengaluru,"Aniruddha Malpani, Startup Oasis",Seed Funding,,,Bengaluru,Consumer Internet,,9/26/2017
627,27/09/2017,Transerve,Technology,Geospatial Technology-based SaaS solutions,Mumbai,"IL&FS Investment Managers, Omidyar Network.",Private Equity,"16,00,000",,Mumbai,Technology,1600000,9/27/2017
628,27/09/2017,Fashalot,Consumer Internet,O2O fashion discovery platform,Gurugram,"Capillary Technologies, Whiteboard Capital, YourNest Angel Fund, Rajul Garg",Private Equity,,,Gurugram,Consumer Internet,,9/27/2017
629,27/09/2017,Pitstop,Consumer Internet,Car repair and Servicing Platform,Bengaluru,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg",Private Equity,"10,00,000",,Bengaluru,Consumer Internet,1000000,9/27/2017
630,27/09/2017,GoChoppers,Consumer Internet,Luxury Helicopter Tourism Services portal,Gurugram,"Rivergate Capital,",Seed Funding,,,Gurugram,Consumer Internet,,9/27/2017
631,27/09/2017,MyUpchar,Consumer Internet,Local Language Health Information portal,New Delhi,LetsVenture,Seed Funding,"3,00,000",,New Delhi,Consumer Internet,300000,9/27/2017
632,28/09/2017,Aadyah,Technology,Defense Tech & Aerospace startup,Bengaluru,Keiretsu Forum,Private Equity,"10,00,000",,Bengaluru,Technology,1000000,9/28/2017
633,1/8/2017,TouchKin,Technology,Predictive Care Platform,Bengaluru,Kae Capital,Private Equity,"13,00,000",,Bengaluru,Technology,1300000,8/1/2017
634,2/8/2017,Ethinos,Technology,Digital Marketing Agency,Mumbai,Triton Investment Advisors,Private Equity,,,Mumbai,Technology,,8/2/2017
635,2/8/2017,Leverage Edu,Consumer Internet,Online platform for Higher Education Services,New Delhi,"Kashyap Deorah, Anand Sankeshwar, Deepak Jain, Sadashiva NT, Arjun Mehta, Satish Kaul, Anindya Ghose",Seed Funding,,,New Delhi,Consumer Internet,,8/2/2017
636,2/8/2017,Zepo,Consumer Internet,DIY Ecommerce platform,Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed Funding,"5,00,000",,Mumbai,Consumer Internet,500000,8/2/2017
637,2/8/2017,Click2Clinic,Consumer Internet,healthcare service aggregator,Hyderabad,"Narottam Thudi, Shireesh Palle",Seed Funding,"8,50,000",,Hyderabad,Consumer Internet,850000,8/2/2017
638,3/8/2017,SpeedBox,Logistics,On-Demand Logistics Service provider,Mumbai,Cismat Cargo Services Pvt. Ltd.,Seed Funding,"3,00,000",,Mumbai,Logistics,300000,8/3/2017
639,3/8/2017,Skill Connect,Consumer Internet,Recruitment Portal,Jaipur,Rajasthan Angel Investor Network,Seed Funding,,,Jaipur,Consumer Internet,,8/3/2017
640,3/8/2017,Chai Point,Consumer Internet,Tea Delivery Portal & offline stores,Bengaluru,"DSG Consumer Partners, Eight Roads Ventures India",Private Equity,,,Bengaluru,Consumer Internet,,8/3/2017
641,3/8/2017,Zoctr,Consumer Internet,Health Products & Services Aggregator,Mumbai,SIDBI,Private Equity,,,Mumbai,Consumer Internet,,8/3/2017
642,4/8/2017,Lime Tray,Technology,Restaurant Management Solutions,New Delhi,JSW Ventures,Private Equity,,,New Delhi,Technology,,8/4/2017
643,4/8/2017,CoutLoot,eCommerce,Fashion Resale Marketplace,Mumbai,"Anuj Puri, Redcliffe Capital, Artha India Ventures, Siddharth Kothari, Apoorv Ranjan Sharma,",Seed Funding,,,Mumbai,E-Commerce,,8/4/2017
644,4/8/2017,Box My Space,Logistics,Warehouse Aggregator,Mumbai,"R. Jayakumar, Vaibhav Vohra, Aditya Vazirani, Rhea Vazirani, AVN Business Solutions, Dreamweaver Investments",Seed Funding,,,Mumbai,Logistics,,8/4/2017
645,5/8/2017,Curatio,Healthcare,Skincare Speciality services,Chennai,Anicut Capital,Private Equity,,,Chennai,Healthcare,,8/5/2017
646,8/8/2017,New Castle Technologies,Technology,Hospital Management Software,Chennai,Undisclosed investors,Seed Funding,"2,43,000",,Chennai,Technology,243000,8/8/2017
647,8/8/2017,My Forex Eye,Consumer Internet,foreign exchange services,New Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others",Seed Funding,"2,20,000",,New Delhi,Consumer Internet,220000,8/8/2017
648,9/8/2017,TruxApp,Logistics,Mobile based Logistics Service,New Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others",Seed Funding,"31,00,000",,New Delhi,Logistics,3100000,8/9/2017
649,9/8/2017,CroFarm,Technology,Agriculture Supply Chain solutions,Gurugram,Factor[e] Ventures,Seed Funding,"7,83,000",,Gurugram,Technology,783000,8/9/2017
650,9/8/2017,DoodhWala,Consumer Internet,Online milk delivery,Bengaluru,Tom Varkey,Seed Funding,,,Bengaluru,Consumer Internet,,8/9/2017
651,10/8/2017,Stayabode,Consumer Internet,Co-Living space aggregator,Bengaluru,"Incubate Fund, Sanjay Shenoy, Mridul Upreti,",Private Equity,,,Bengaluru,Consumer Internet,,8/10/2017
652,11/8/2017,Flipkart,eCommerce,Online Marketplace,Bengaluru,Softbank,Private Equity,"2,50,00,00,000",,Bengaluru,E-Commerce,2500000000,8/11/2017
653,11/8/2017,Moong Labs,Technology,Mobile games developer,New Delhi,Nazara Games,Private Equity,,,New Delhi,Technology,,8/11/2017
654,11/8/2017,Ola Cabs,Consumer Internet,App based cab aggregation Service,Gurugram,Tekne Capital Management,Private Equity,"3,60,00,000",,Gurugram,Consumer Internet,36000000,8/11/2017
655,14/08/2017,Sports Flashes,Consumer Internet,Sports Content Mobile App,New Delhi,"Bennett, Coleman and Company Ltd (BCCL),",Private Equity,,,New Delhi,Consumer Internet,,8/14/2017
656,14/08/2017,Digilend,Technology,Personal Loans & EMI solutions platform,Mumbai,"InCred Finance, Fullerton India Credit Company Ltd",Seed Funding,"3,12,000",,Mumbai,Technology,312000,8/14/2017
