sr_no,date,startup_name,industry_vertical,subvertical,city_location,investors_name,investment_type,amount_in_usd,remarks,city_clean,industry_clean,amount_clean,date_clean
2799,25/05/2015,ZenParent,Parents focused Web Content,Unknown,Bengaluru,i2india Ventures,Seed Funding,"5,00,000",,Bengaluru,Parents focused Web Content,500000,5/25/2015
2800,25/05/2015,Newgen Payments,Payments Solution Provider,Unknown,New Delhi,Jan Manten,Seed Funding,,,New Delhi,Payments Solution Provider,,5/25/2015
2801,26/05/2015,UrbanPro,On-demand Service marketplace,Unknown,Bengaluru,Nirvana Venture Advisors,Private Equity,"20,00,000",Series A,Bengaluru,On-demand Service marketplace,2000000,5/26/2015
2802,26/05/2015,Goodbox,On-Demand Business messaging,Unknown,Bengaluru,Manipal Group,Seed Funding,"2,00,000",,Bengaluru,On-Demand Business messaging,200000,5/26/2015
2803,26/05/2015,Renderlogy,Online Home D\\xc3\\xa9cor,Unknown,Hyderabad,Astarc Ventures,Private Equity,"10,00,000",Series A,Hyderabad,Online Home D\\xc3\\xa9cor,1000000,5/26/2015
2804,27/05/2015,Postman,API Workflow platform,Unknown,Bengaluru,Nexus Venture Partners,Seed Funding,"10,00,000",Series A,Bengaluru,API Workflow platform,1000000,5/27/2015
2805,27/05/2015,Casa2inns,Affordable Hotel Booking Online,Unknown,New Delhi,"Accel Partners, Kalaari Capital",Private Equity,"50,00,000",Series A,New Delhi,Affordable Hotel Booking Online,5000000,5/27/2015
2806,27/05/2015,FleetRover,Logistics Intelligence,Unknown,Goa,"Tim Chen, Sanjay Venkat",Seed Funding,"1,80,000",,Goa,Logistics Intelligence,180000,5/27/2015
2807,28/05/2015,TheKarrier,Last Mile Logistics,Unknown,Bengaluru,"Sol Primero, Outbox Ventures, Nikunj Jain",Seed Funding,"2,40,000",,Bengaluru,Last Mile Logistics,240000,5/28/2015
2808,28/05/2015,Zoomcar,Self-driven Car rental,Unknown,Bengaluru,Sequoia Capital,Private Equity,"50,00,000",Series B Interim Funding,Bengaluru,Self-driven Car rental,5000000,5/28/2015
2809,28/05/2015,Truweight,Weight Management Service,Unknown,Hyderabad,Kalaari Capital,Private Equity,,Series A,Hyderabad,Weight Management Service,,5/28/2015
2810,30/05/2015,Ather Energy,Electric Scooter Manufacturer,Unknown,Bengaluru,Tiger Global,Private Equity,"1,20,00,000",Series A,Bengaluru,Electric Scooter Manufacturer,12000000,5/30/2015
2811,3/4/2015,Swiggy,Online Food Delivery,Unknown,Bengaluru,"Accel Partners, SAIF Partners",Private Equity,"20,00,000",Series A,Bengaluru,Online Food Delivery,2000000,4/3/2015
2812,4/4/2015,Bluegape,Web Content Publishing,Unknown,Gurugram,"Rudy Gopalakrishnan, ah! Ventures",Seed Funding,"2,00,000",,Gurugram,Web Content Publishing,200000,4/4/2015
2813,4/4/2015,KeepTrax,Location Based App,Unknown,Dallas / Hyderabad,Unknown,Seed Funding,"10,00,000",,Hyderabad,Location Based App,1000000,4/4/2015
2814,6/4/2015,InstaLively,Video Streaming,Unknown,New Delhi,"Rajesh Sawheny , Rajan Anandan, Amit Ranjan, Niraj Singh, AECAL, MeraEvents.",Seed Funding,"1,20,000",,New Delhi,Video Streaming,120000,4/6/2015
2815,7/4/2015,Pricejugaad,Price Comparison,Unknown,Hyderabad,"Amit Tyagi, Sandeep Acharya & others",Seed Funding,"1,65,000",,Hyderabad,Price Comparison,165000,4/7/2015
2816,7/4/2015,Quikr,Online Classifieds,Unknown,Mumbai,"Tiger Global, Investment AB Kinnevik, Steadview Capital",Private Equity,"15,00,00,000",Series G (Check prev funding details here),Mumbai,Online Classifieds,150000000,4/7/2015
2817,7/4/2015,PressPlay,Travel Entertainment,Unknown,New Delhi,"Sequoia Capital, Jason Hirschhorn, Jarett Posner, and Amit Bhatiani",Seed Funding,"22,00,000",,New Delhi,Travel Entertainment,2200000,4/7/2015
2818,7/4/2015,LogiNext,Logistics Tech,Unknown,Mumbai,"Ajit Surana, Sanjay Mehta",Seed Funding,,,Mumbai,Logistics Tech,,4/7/2015
2819,8/4/2015,FirstCry.com,eCommerce,Unknown,Pune,"Silicon Valley Ventures, NEA Ventures, Valiant Capital, IDG Ventures India,\\xc2\\xa0 SAIF Partners, Vertex Ventures",Private Equity,"1,00,00,000","Series D ( In Feb it was announced they raised 26M, but it is 36M, so added here)",Pune,E-Commerce,10000000,4/8/2015
2820,8/4/2015,MobiKwik,Digital / Mobile Wallet,Unknown,Gurugram,"Tree Line Asia, Cisco Investments, American Express, Sequoia Capital",Private Equity,"2,50,00,000",Series B,Gurugram,Digital / Mobile Wallet,25000000,4/8/2015
2821,8/4/2015,Olacabs,Cab Aggregator,Unknown,Bengaluru,"DST Global, Steadview Capital, Tiger Global, Accel Partners & Others",Private Equity,"40,00,00,000",Series E (Updated from 315M to 400M after Press Release),Bengaluru,Cab Aggregator,400000000,4/8/2015
2822,9/4/2015,Gadgetwood,Device Repair Svcs,Unknown,New Delhi,"Ajai Chowdhry, Ashvin Chadha, Yogesh Bansal,\\nNitin Singhal & Others",Seed Funding,"2,00,000",,New Delhi,Device Repair Svcs,200000,4/9/2015
2823,9/4/2015,Bonhomia,Premium Beverages,Unknown,New Delhi,"Kanwaljit Singh, Shripad Nadkarni, Sarvesh Shahra & Others",Seed Funding,"20,00,000",,New Delhi,Premium Beverages,2000000,4/9/2015
