"sr_no","date_clean","startup_name","industry_clean","subvertical","city_clean","investors_name","investment_type","amount_clean"
"1923","2/5/2016","American Vision","Consumer Internet","Optical Store Aggregator Platform","Pune","Undisclosed investors","Seed Funding","81000.0"
"1924","2/5/2016","DawaiLelo","Consumer Internet","Healthcare Services & Online Pharmacy Mobile App","Varanasi","Undisclosed investors","Seed Funding","52000.0"
"1925","2/6/2016","Heads Up For Tails","E-Commerce","Pet Products eTailer","New Delhi","Undisclosed investors","Seed Funding","1000000.0"
"1926","2/6/2016","LiveNutriFit","Healthcare","Weight loss & Healthcare Info portal","New Delhi","Mohit Goel, Vinod Jain & Others","Seed Funding",""
"1927","2/8/2016","Moglix","E-Commerce","Industrial & Home Products Marketplace","New Delhi","Ratan Tata","Private Equity",""
"1928","2/8/2016","iStyleYou","Consumer Internet","Personal Fashion Stylist App","Gurugram","Green House Ventures (GHV)","Seed Funding","100000.0"
"1929","2/8/2016","AdUrCup","Consumer Internet","Ad Network","New Delhi","Green House Ventures (GHV)","Seed Funding","100000.0"
"1930","2/8/2016","Weddingz","Consumer Internet","online marketplace for wedding venues and vendors","Mumbai","Sixth Sense Ventures","Private Equity",""
"1931","2/8/2016","Urban Dhobi","Consumer Internet","On Demand Laundry Services","Jaipur","Vinod Bansal, Sanjeev Singhal","Seed Funding",""
"1932","2/8/2016","Gray Routes","Consumer Internet","Last mile logistics solutions","Mumbai","Mahesh Parasuraman, Rahul Gautam & Others","Seed Funding",""
"1933","2/8/2016","Xpressbees","E-Commerce","ECommerce Logistics solutions","Pune","SAIF Partners, IDG Ventures India, Vertex Ventures, Valiant Capital","Private Equity","12500000.0"
"1934","2/8/2016","Invictus Oncology","Healthcare","Cancer therapeutic Info & Solutions","New Delhi","Ratan Tata","Private Equity",""
"1935","2/8/2016","Hansel.io","Technology","Mobile App Tech Solutions","Bengaluru","Endiya Partners, Mekin Maheshwari, Rajesh Sawhney","Seed Funding",""
"1936","2/9/2016","Inc42","Consumer Internet","Startup Focused Media News Portal","New Delhi","India Ventures, Aarin Capital & Others","Seed Funding",""
"1937","2/9/2016","GOQii","Technology","Personalized fitness coaching & Fitness band","Mumbai","Edelweiss Financial Services","Private Equity",""
"1938","2/10/2016","Capzest","Consumer Internet","Digital Lending Platform","Mumbai","Lion Ventures","Seed Funding","200000.0"
"1939","2/10/2016","GlamStudios","Consumer Internet","Online Salon Aggregator","Noida","Aqeel Ahmed","Seed Funding",""
"1940","2/10/2016","Affimity","Consumer Internet","Social Networking platform","Bengaluru","undisclosed investors","Seed Funding","1200000.0"
"1941","2/10/2016","Anandakanda","Technology","Medicine Intake Reminder System","Pune","undisclosed investors","Seed Funding","150000.0"
"1942","2/10/2016","JoulestoWatts","Technology","IT services & Talent collaboration services startup","Bengaluru","Manipal Global Education Services","Seed Funding",""
"1943","2/10/2016","Shopkirana","Consumer Internet","Retailer Supply Chain platform","Indore","Atul Jain, Anil Gelra, Jaikumar Nair","Seed Funding",""
"1944","2/10/2016","Stylofie","Consumer Internet","Online Beauty Parlour search & discovery Platform","Gurugram","Jaideep Mehta","Seed Funding",""
"1945","2/10/2016","OyBob","E-Commerce","Hyperlocal Products & Services marketplace","Gurugram","Sachin Dalal","Seed Funding",""
"1946","2/12/2016","ActOnMagic","Technology","Cloud Analytics and Management Products","Bengaluru","Jayabalan Subramanian","Seed Funding","125000.0"
"1947","2/12/2016","Bonhomia","Food & Beverage","premium Tea and Coffee","New Delhi","Alok Rawat, Grey Orange Robotics","Seed Funding","1000000.0"
"1948","2/12/2016","iGrenEnergi","Technology","Solar Power Solutions","Mumbai","Sunil Mehta","Seed Funding","1000000.0"
"1949","2/12/2016","RKSV","Consumer Internet","Online Stock Trading Platform","Mumbai","Kalaari Capital","Private Equity","4000000.0"
"1950","2/15/2016","Aasaanjobs","Consumer Internet","Online Recruitment Marketplace","Mumbai","Aspada Advisors, IDG Ventures,\\xc2\\xa0 Inventus Capital","Private Equity","5000000.0"
"1951","2/15/2016","Snapdeal","E-Commerce","Horizontal Online Marketplace","New Delhi","Ontario Teachers\\xe2\\x80\\x99 Pension Plan & Others","Private Equity","200000000.0"
"1952","2/15/2016","Jugnoo","Consumer Internet","Transportation & On-demand delivery aggregator","Chandigarh","Saumya Tandon","Private Equity",""
"1953","2/15/2016","Snapbizz","Technology","Connectivity platform for local grocery stores","Bengaluru","Ratan Tata","Private Equity",""
"1954","2/15/2016","GoYaNo","Consumer Internet","Events & Restaurant Discovery Marketplace App","Gurugram","Mukesh Kumar Gupta","Seed Funding","50000.0"
"1955","2/15/2016","RentSher","Consumer Internet","Online Household Product Rental platform","Bengaluru","Vaibhav Doshi, Abhay Singhal, Vibhu Garg, Joby Babu, Abhishek Acharya, Manish Shah","Seed Funding","300000.0"
